Fecha,Ingresos
02/02/21,"125,56
29/10/20,"96,15"
30/07/20,"88,91"
30/04/20,"75,45"
30/01/20,"87,44"
24/10/19,"69,98"
25/07/19,"63,4"
25/04/19,"59,7"
31/01/19,"72,38"
25/10/18,"56,58"
26/07/18,"52,89"
26/04/18,"51,04"
01/02/18,"60,45"
26/10/17,"43,74"
27/07/17,"37,96"
27/04/17,"35,71"
02/02/17,"43,74"
27/10/16,"32,71"
28/07/16,"30,4"
28/04/16,"29,13"
28/01/16,"35,75"
22/10/15,"25,36"
23/07/15,"23,19"
23/04/15,"22,72"
29/01/15,"29,33"
23/10/14,"59,66"
24/07/14,"39,08"
